da056s1,da056s2,da056s3,da056s4,da056s5,da056s6,da056s7,da056s8,da056s9,da056s10,da056s11,da056s12
1 Interacted with Friends,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,9  Stock Investment,10  Used The Internet,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,,,
1 Interacted with Friends,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,,,
1 Interacted with Friends,,,,,,,,,,,
1 Interacted with Friends,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,10  Used The Internet,,
1 Interacted with Friends,,,,,,,,,,,
1 Interacted with Friends,,,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,,,,,,,,,,
,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
,,,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,,,
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,,"4  Went to A Sport, Social, or Other Kind of Club",5  Took Part in A Community-Related Organization,,,,,,,
,,,,,,,,,,,12  None of These
,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
,,,,,,,,,,,
1 Interacted with Friends,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,,,
1 Interacted with Friends,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,,,,,,,,,,
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,,,,,,,,,,
1 Interacted with Friends,,,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,,,
1 Interacted with Friends,,,,,,,,,,,
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,,,
,,,,,,,,,,,
1 Interacted with Friends,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
1 Interacted with Friends,,,,,,,,,,,
,,,,,,,,,,,12  None of These
1 Interacted with Friends,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
1 Interacted with Friends,,,,,,,,,,,
1 Interacted with Friends,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,,,
1 Interacted with Friends,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,10  Used The Internet,,
,,,,,,,,,10  Used The Internet,,
1 Interacted with Friends,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,5  Took Part in A Community-Related Organization,,,,,,,
,,,,,,,,,,,12  None of These
,,,"4  Went to A Sport, Social, or Other Kind of Club",,,,8  Attended An Educational or Training Course,,,,
,,,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,,,
,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,,,
1 Interacted with Friends,,,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,,,,,,,,,,
1 Interacted with Friends,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,,,,,,,,,,
1 Interacted with Friends,,,,,,,,,,,
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,,,5  Took Part in A Community-Related Organization,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
1 Interacted with Friends,,,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,,,
1 Interacted with Friends,,,,,,,,,,,
,,,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,
1 Interacted with Friends,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,,,
1 Interacted with Friends,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,,,
1 Interacted with Friends,,,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,,,
1 Interacted with Friends,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,10  Used The Internet,,
1 Interacted with Friends,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,10  Used The Internet,,
1 Interacted with Friends,,,,,,,8  Attended An Educational or Training Course,9  Stock Investment,10  Used The Internet,11  Other,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,,,
1 Interacted with Friends,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,,,
,,,,,,,,,,,12  None of These
,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,10  Used The Internet,,
,,,,,,,,,,,12  None of These
,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,,,
,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,9  Stock Investment,10  Used The Internet,,
1 Interacted with Friends,,,"4  Went to A Sport, Social, or Other Kind of Club",5  Took Part in A Community-Related Organization,,,,,10  Used The Internet,,
1 Interacted with Friends,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,9  Stock Investment,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,
,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
,,,,,,,,,,,12  None of These
,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
1 Interacted with Friends,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
1 Interacted with Friends,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,,,
,,,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,,,
1 Interacted with Friends,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,,,
,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,
,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
1 Interacted with Friends,,,,,,,,,,,
1 Interacted with Friends,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
1 Interacted with Friends,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
,,,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,,,
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,,,
,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,,,
1 Interacted with Friends,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
1 Interacted with Friends,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,"4  Went to A Sport, Social, or Other Kind of Club",,,7  Cared for A Sick or Disabled Adult Not Live with You or Did Not Pay You for Help,,,10  Used The Internet,,
,,,,,,,,,10  Used The Internet,,
,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,10  Used The Internet,,
,,,,,,,,,10  Used The Internet,,
,,,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,10  Used The Internet,,
1 Interacted with Friends,,,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,10  Used The Internet,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,,,,,,,,10  Used The Internet,,
1 Interacted with Friends,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,9  Stock Investment,,,
1 Interacted with Friends,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
,,,,,,,,,,,12  None of These
1 Interacted with Friends,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
,,,,,,,,,,,12  None of These
,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
1 Interacted with Friends,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
,,,,,,,,,,,12  None of These
,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
1 Interacted with Friends,,,,,,,,,,,
1 Interacted with Friends,,,,,,,,,,,
1 Interacted with Friends,,,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,,,
1 Interacted with Friends,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,,,
,,,,,,,,,,11  Other,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,,,
,,,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,,,
,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,,,
,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
1 Interacted with Friends,,,,,,,,,,,
,,,,,,,,,,,12  None of These
,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,,,,,,,,,,
1 Interacted with Friends,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
,,,,,,,,,,,12  None of These
1 Interacted with Friends,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
,,,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,,,
1 Interacted with Friends,,,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
1 Interacted with Friends,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,,,
,,,,,,,,,,,12  None of These
,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
1 Interacted with Friends,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,,,
,,,"4  Went to A Sport, Social, or Other Kind of Club",,,7  Cared for A Sick or Disabled Adult Not Live with You or Did Not Pay You for Help,,,,,
,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
1 Interacted with Friends,,,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,10  Used The Internet,,
,,,,,,,,,,,12  None of These
,,,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,,,
,,,,,,,,,,,12  None of These
,,,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,,,
1 Interacted with Friends,,,,,6  Done Voluntary or Charity Work,,,,,,
1 Interacted with Friends,,,,,,,,,,,
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,,,,,,,,,,
1 Interacted with Friends,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,,,
,,,,,,,,,,,12  None of These
,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,,,,,,,,,,
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,,,,,,,,,,
1 Interacted with Friends,,,,,,,,,,,
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,,,
,,,,,,,,,,,12  None of These
,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,,,
,,,,,,,,,,,12  None of These
1 Interacted with Friends,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
1 Interacted with Friends,,,,,,,,,,,
1 Interacted with Friends,,,,,,,,,,,
,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,,,
,,,,,,,,,,,12  None of These
1 Interacted with Friends,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,,,
,,,,,,,,,10  Used The Internet,,
,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
1 Interacted with Friends,,,,,,,,,,,
,,,,,,,,,,,
1 Interacted with Friends,,,,,,,,,,,
,,,,,,7  Cared for A Sick or Disabled Adult Not Live with You or Did Not Pay You for Help,,,,,
,,,,,,7  Cared for A Sick or Disabled Adult Not Live with You or Did Not Pay You for Help,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,,,
,,,,,,,,,,,12  None of These
,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,,,
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,"4  Went to A Sport, Social, or Other Kind of Club",5  Took Part in A Community-Related Organization,6  Done Voluntary or Charity Work,7  Cared for A Sick or Disabled Adult Not Live with You or Did Not Pay You for Help,8  Attended An Educational or Training Course,,10  Used The Internet,11  Other,
1 Interacted with Friends,,,,5  Took Part in A Community-Related Organization,,,,,,,
,,,,,,,,,,11  Other,
1 Interacted with Friends,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,,,
1 Interacted with Friends,,,,,,,,,,,
1 Interacted with Friends,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,5  Took Part in A Community-Related Organization,,,,,10  Used The Internet,,
1 Interacted with Friends,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,"4  Went to A Sport, Social, or Other Kind of Club",5  Took Part in A Community-Related Organization,,,,,,,
,,,,,,,,,,,12  None of These
1 Interacted with Friends,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,"4  Went to A Sport, Social, or Other Kind of Club",,,,,9  Stock Investment,10  Used The Internet,,
1 Interacted with Friends,,,,,,,,,,,
1 Interacted with Friends,,,,,,,,,,,
1 Interacted with Friends,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,10  Used The Internet,11  Other,
,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
1 Interacted with Friends,,,,,,,,,,,
,,,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,10  Used The Internet,,
1 Interacted with Friends,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,5  Took Part in A Community-Related Organization,6  Done Voluntary or Charity Work,,8  Attended An Educational or Training Course,9  Stock Investment,10  Used The Internet,11  Other,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,,,
1 Interacted with Friends,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,8  Attended An Educational or Training Course,,10  Used The Internet,,
1 Interacted with Friends,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,10  Used The Internet,11  Other,
1 Interacted with Friends,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,,,,,,,,,,
1 Interacted with Friends,,,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,,,
1 Interacted with Friends,,,,,,,,,,,
1 Interacted with Friends,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,,,
,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
1 Interacted with Friends,,,,,,,,,,,
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,,,
1 Interacted with Friends,,,,,,,,,,,
1 Interacted with Friends,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,,,
1 Interacted with Friends,,,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,,,,,,,,,,
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,,,,,,,,,,
1 Interacted with Friends,,,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
1 Interacted with Friends,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,,,,,,,,,,
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,,,,,,,,,,
1 Interacted with Friends,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
1 Interacted with Friends,,,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,,,,,,,,,,
,,,,,,,,,,,12  None of These
,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
1 Interacted with Friends,,,,,,,,,,,
,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,,,
,,,,,,,,,10  Used The Internet,,
1 Interacted with Friends,,,,,,,,,10  Used The Internet,,
,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
,,,,5  Took Part in A Community-Related Organization,,,8  Attended An Educational or Training Course,,,,
,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,,,
1 Interacted with Friends,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,7  Cared for A Sick or Disabled Adult Not Live with You or Did Not Pay You for Help,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1 Interacted with Friends,,,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
1 Interacted with Friends,,,,,,,,,,,
1 Interacted with Friends,,,,,,,,,,,
1 Interacted with Friends,,,,,,,,,,,
1 Interacted with Friends,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,,,,,,,,,,
1 Interacted with Friends,,,,,,,,,,,
,,,,,,,,,,,12  None of These
,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,"4  Went to A Sport, Social, or Other Kind of Club",,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,,,,,,,,,,
1 Interacted with Friends,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,,,
1 Interacted with Friends,,,,,,,,,,,
,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,8  Attended An Educational or Training Course,,10  Used The Internet,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,,,,,,,,,,
1 Interacted with Friends,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,,,
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,,,,,,,,,,
1 Interacted with Friends,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
1 Interacted with Friends,,,,,,,,,,,
1 Interacted with Friends,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
,,,,,,,,,,,12  None of These
1 Interacted with Friends,,,,,,,,,,,
1 Interacted with Friends,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,3  Provided Help to others Who Do Not Live with You or Did Not Pay You for Help,,,,,,,,,
,,,,,,,,,,,12  None of These
,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
,,,,,,,,,10  Used The Internet,,
,,,,,,,,,10  Used The Internet,,
,,,"4  Went to A Sport, Social, or Other Kind of Club",5  Took Part in A Community-Related Organization,,,,,,,
1 Interacted with Friends,"2  Played Ma-Jong, Played Chess, Played Cards, or Went to Community Club",,,,,,,,,,
1 Interacted with Friends,,,,,,,,,,,
1 Interacted with Friends,,,,,,,,,,,
1 Interacted with Friends,,,,,,,,,,,
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
,,,,,,,,,,,12  None of These
